__time,/model_pose/header/stamp,/model_pose/x/effort,/model_pose/x/position,/model_pose/x/velocity,/model_pose/y/effort,/model_pose/y/position,/model_pose/y/velocity,/model_pose/z/effort,/model_pose/z/position,/model_pose/z/velocity,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,/psm_joint_telemetry/roll/effort,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity,/psm_joint_telemetry/servo1/effort,/psm_joint_telemetry/servo1/position,/psm_joint_telemetry/servo1/velocity,/psm_joint_telemetry/servo2/effort,/psm_joint_telemetry/servo2/position,/psm_joint_telemetry/servo2/velocity,/psm_joint_telemetry/servo3/effort,/psm_joint_telemetry/servo3/position,/psm_joint_telemetry/servo3/velocity,/psm_joint_telemetry/servo4/effort,/psm_joint_telemetry/servo4/position,/psm_joint_telemetry/servo4/velocity
1751971112.636929,,,,,,,,,,,324.992000000,88.349182129,0.000000000,100.000000000,2.409305096,-29.891996384,-150.000000000,7.127406597,-3.422999382,-100.000000000,60.273277283,0.000000000,0.000000000,166.558593750,0.000000000,0.000000000,106.572227478,0.000000000,0.000000000,135.448577881,0.000000000,0.000000000
1751971112.637003,1751971112.636902094,0.000000000,-0.013032405,0.000000000,0.000000000,-0.041717221,0.000000000,0.000000000,0.076798344,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1751971112.638986,1751971112.638911486,0.000000000,-0.013032405,0.000000000,0.000000000,-0.041717221,0.000000000,0.000000000,0.076798344,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1751971112.639801,,,,,,,,,,,324.994000000,88.349182129,0.000000000,100.000000000,2.409305096,-29.891996384,-150.000000000,7.127406597,-3.422999382,-100.000000000,60.278347015,0.000000000,0.000000000,166.565185547,0.000000000,0.000000000,106.558868408,0.000000000,0.000000000,135.472839355,0.000000000,0.000000000
1751971112.641006,1751971112.640918732,0.000000000,-0.013032405,0.000000000,0.000000000,-0.041717221,0.000000000,0.000000000,0.076798344,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1751971112.642642,,,,,,,,,,,324.997000000,88.349182129,0.000000000,100.000000000,2.409305096,-29.891996384,-150.000000000,7.127406597,-3.422999382,-100.000000000,60.278636932,0.000000000,0.000000000,166.567596436,0.000000000,0.000000000,106.566551208,0.000000000,0.000000000,135.489501953,0.000000000,0.000000000
1751971112.642965,1751971112.642899990,0.000000000,-0.013032405,0.000000000,0.000000000,-0.041717221,0.000000000,0.000000000,0.076798344,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1751971112.644998,1751971112.644898176,0.000000000,-0.013032405,0.000000000,0.000000000,-0.041717221,0.000000000,0.000000000,0.076798344,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1751971112.645473,,,,,,,,,,,325.000000000,88.349182129,0.000000000,100.000000000,2.409305096,-29.891996384,-150.000000000,7.127406597,-3.422999382,-100.000000000,60.274547577,0.000000000,0.000000000,166.563720703,0.000000000,0.000000000,106.569587708,0.000000000,0.000000000,135.511444092,0.000000000,0.000000000
1751971112.646979,1751971112.646899462,0.000000000,-0.013052673,0.000000000,0.000000000,-0.041714383,0.000000000,0.000000000,0.076802795,0.000000000,,,,,,,,,,,,,,,,,,,,,,
